Description,Export
PETROLEUM PRODUCTS,190896
"DRUG , BIOLOGICALS",141207
"PEARL, PRECS, SEMIPRECS STONES",133845
IRON AND STEEL,89928
ELECTRIC MACHINERY AND EQUIPME,60166
