Country,Export,Import
U S A,366480.39,248553.77
CHINA P RP,117289.11,492079.28
U ARAB EMTS,210210.93,208550.77
SAUDI ARAB,38854.24,199394.9
HONG KONG,91117.42,125971.91
SINGAPORE,80942.25,113918.75
IRAQ,12506.5,156600.99
GERMANY,62200.63,106130.52
KOREA RP,32877.97,117255.31
INDONESIA,36871.06,111148.53
SWITZERLAND,8291.77,126171.59
JAPAN,34010.29,89278.38
MALAYSIA,45103.72,75491.67
BELGIUM,47007.68,73002.29
IRAN,24460.96,94112.97
