Country,Export,Import
CHINA P RP,157201.59,482495.8
U S A,381844.53,213724.71
U ARAB EMTS,123333.92,196350.54
HONG KONG,75201.43,112218.27
SAUDI ARAB,43358.89,119758.62
SINGAPORE,64382.17,98219.58
GERMANY,60112.71,101104.82
SWITZERLAND,9340.61,133867.52
INDONESIA,37156.69,92325.28
KOREA RP,34694.23,94476.22
IRAQ,11105.18,105655.26
JAPAN,32818.18,80819.15
MALAYSIA,44970.79,61791.22
U K,60244.9,36611.48
AUSTRALIA,29927.64,60970.79
