Country,Total_Balance
U S A,122802.08
CHINA P RP,-343851.45
U ARAB EMTS,-10209.2
SAUDI ARAB,-145978.37
HONG KONG,-42246.55
IRAQ,-155067.88
SINGAPORE,-41367.18
GERMANY,-38205.73
KOREA RP,-76545.79
INDONESIA,-77427.88
