Description,Import
PETROLEUM: CRUDE,439656
GOLD,254288
PETROLEUM PRODUCTS,171697
"PEARL, PRECS, SEMIPRECS STONES",139024
"COAL,COKE AND BRIQUITTES ETC",120534
