Description,Import
PETROLEUM: CRUDE,728112
GOLD,199250
PETROLEUM PRODUCTS,197055
"PEARL, PRECS, SEMIPRECS STONES",159066
"COAL,COKE AND BRIQUITTES ETC",158865
