Country,Total_Balance
U S A,117926.62
CHINA P RP,-374790.17
U ARAB EMTS,1660.17
SAUDI ARAB,-160540.66
HONG KONG,-34854.5
SINGAPORE,-32976.5
IRAQ,-144094.49
GERMANY,-43929.89
KOREA RP,-84377.34
INDONESIA,-74277.46
