Country,Total_Balance
CHINA P RP,-325294.21
U S A,168119.82
U ARAB EMTS,-73016.62
HONG KONG,-37016.84
SAUDI ARAB,-76399.74
SINGAPORE,-33837.41
GERMANY,-40992.11
SWITZERLAND,-124526.91
INDONESIA,-55168.59
KOREA RP,-59781.98
