Country,Total_Trade
CHINA P RP,639697.39
U S A,595569.24
U ARAB EMTS,319684.46
HONG KONG,187419.7
SAUDI ARAB,163117.51
SINGAPORE,162601.75
GERMANY,161217.54
SWITZERLAND,143208.12
INDONESIA,129481.97
KOREA RP,129170.45
