Description,Import
PETROLEUM: CRUDE,960040
GOLD,389766
PETROLEUM PRODUCTS,316757
"PEARL, PRECS, SEMIPRECS STONES",246383
"COAL,COKE AND BRIQUITTES ETC",242720
