Description,Import
PETROLEUM: CRUDE,798158
GOLD,229537
"PEARL, PRECS, SEMIPRECS STONES",188881
PETROLEUM PRODUCTS,188117
"COAL,COKE AND BRIQUITTES ETC",183025
