Country,Total_Trade
U S A,615034.17
CHINA P RP,609368.39
U ARAB EMTS,418761.7
SAUDI ARAB,238249.15
HONG KONG,217089.33
SINGAPORE,194861
IRAQ,169107.49
GERMANY,168331.15
KOREA RP,150133.28
INDONESIA,148019.59
