Country,Total_Trade
CHINA P RP,578230.47
U S A,480167.17
U ARAB EMTS,321552.82
SAUDI ARAB,177108.72
HONG KONG,163454.37
GERMANY,141693.84
KOREA RP,134174.28
INDONESIA,131522.87
SWITZERLAND,129004.79
IRAQ,122875.32
