Country,Export,Import
U S A,376165.54,253363.46
CHINA P RP,117673.31,461524.77
U ARAB EMTS,204237.82,214447.02
SAUDI ARAB,44266.86,190245.23
HONG KONG,77752.43,119998.98
IRAQ,13286.6,168354.48
SINGAPORE,63026.92,104394.1
GERMANY,58722.62,96928.35
KOREA RP,34337.65,110883.44
INDONESIA,29299.38,106727.27
SWITZERLAND,8505.3,119239.41
JAPAN,32002.87,88033.63
MALAYSIA,45106.42,69166.63
U K,61882.24,47494.88
BELGIUM,41164.2,62830.75
