Country,Export,Import
CHINA P RP,85994.3,492236.17
U S A,308602.69,171564.48
U ARAB EMTS,181456.93,140095.89
SAUDI ARAB,34867.98,142240.74
HONG KONG,94677.35,68777.02
GERMANY,55993.63,85700.2
KOREA RP,28751.44,105422.84
INDONESIA,25561.76,105961.12
SWITZERLAND,6986.98,122017.81
IRAQ,9422.65,113452.67
AUSTRALIA,25856.52,90197.22
SINGAPORE,65789.31,48132.82
JAPAN,30505.99,70745.25
MALAYSIA,36738.21,58081.29
U K,62431.4,30989.47
